dataset,split,method,seed,classifier,metric,test_acc,test_disp,train_acc,train_disp,hyp,time
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,0.0,7.5,0.0,0.0,2.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.6804925469863902,0.37421383647798745,0.6800604882263988,0.352867029164607,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,2.5,0.0,0.0,0.0,0.0,7.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,2.5,0.0,0.0,0.0,0.0,5.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5949449125081011,0.9358490566037736,0.6094188809678116,0.9184873949579831,"0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5819831497083603,1.0,0.5888960898682221,1.0,"0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5113415424497731,1.0,0.5143659537697127,1.0,"0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,2.5,7.5,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5178224238496435,1.0,0.5221430114495571,1.0,"0.0,5.0,0.0,0.0,0.0,0.0,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5917044718081659,0.9433962264150944,0.6040181464679196,0.9302521008403362,"0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5742060920285159,1.0,0.5839274141283215,1.0,"0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.576150356448477,1.0,0.5809030028083819,1.0,"0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.6020738820479585,0.5256682389937106,0.6169799092676604,0.5914977755808206,"0.0,7.5,0.0,0.0,0.0,0.0,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5858716785482826,0.959748427672956,0.594296824368114,0.9521008403361344,"0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5703175631885936,1.0,0.5763663858284727,1.0,"0.0,7.5,2.5,0.0,0.0,0.0,0.0,0.0",11.711728811264038
