dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
4,0.05,2,68.697,0.1675,66.667,0.15978,58.62,0.01505,55.642,-0.022294
4,0.05,3,68.892,0.18958,66.796,0.17828,62.216,0.031082,59.987,0.10464
4,0.1,1,66.785,0.16293,65.694,0.18572,57.842,0.029679,56.55,0.011913
4,0.1,2,68.697,0.1675,66.667,0.15978,58.62,0.01505,55.642,-0.022294
4,0.1,3,68.892,0.18958,66.796,0.17828,63.739,0.05483,61.479,0.11507
4,0.15,1,66.785,0.16293,65.694,0.18572,57.842,0.029679,56.55,0.011913
4,0.15,2,68.697,0.1675,66.667,0.15978,64.517,0.10246,62.84,0.055947
4,0.15,3,68.892,0.18958,66.796,0.17828,68.438,0.14639,66.926,0.16997
4,0.2,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.2,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.2,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.25,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.25,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.25,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.3,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.3,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.3,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.35,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.35,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.35,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.4,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.4,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.4,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.45,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.45,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.45,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.5,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.5,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.5,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.55,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.55,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.55,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.6,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.6,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.6,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.65,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.65,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.65,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.7,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.7,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.7,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.75,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.75,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
