dataset,split,method,seed,classifier,metric,acc,disp,hyp,time
german_binary,1,correlation_remover,1,MLP,FPR,0.752,0.2524707996406109,1.0,
german_binary,1,correlation_remover,1,MLP,EO,0.756,0.2237196765498652,0.0,
german_binary,1,correlation_remover,1,MLP,EO,0.752,0.2048517520215633,0.1111111111111111,
german_binary,1,correlation_remover,1,MLP,EO,0.752,0.2048517520215633,0.2222222222222222,
german_binary,1,correlation_remover,1,MLP,EO,0.744,0.233602875112309,0.3333333333333333,
german_binary,1,correlation_remover,1,MLP,EO,0.744,0.3000898472596586,0.4444444444444444,
german_binary,1,correlation_remover,1,MLP,EO,0.752,0.3189577717879605,0.5555555555555556,
german_binary,1,correlation_remover,1,MLP,EO,0.752,0.3189577717879605,0.6666666666666666,
german_binary,1,correlation_remover,1,MLP,EO,0.748,0.3000898472596586,0.7777777777777777,
german_binary,1,correlation_remover,1,MLP,EO,0.744,0.2147349505840071,0.8888888888888888,
german_binary,1,correlation_remover,1,MLP,EO,0.752,0.2524707996406109,1.0,
german_binary,1,correlation_remover,1,KNN,DP,0.748,0.0042972434755267,0.0,
german_binary,1,correlation_remover,1,KNN,DP,0.72,0.015721622471439,0.1111111111111111,
german_binary,1,correlation_remover,1,KNN,DP,0.736,0.0058694057226705,0.2222222222222222,
german_binary,1,correlation_remover,1,KNN,DP,0.732,0.0055549732732417,0.3333333333333333,
german_binary,1,correlation_remover,1,KNN,DP,0.724,0.0317576773923068,0.4444444444444444,
german_binary,1,correlation_remover,1,KNN,DP,0.716,0.0219054606435383,0.5555555555555556,
german_binary,1,correlation_remover,1,KNN,DP,0.716,0.038255948013835,0.6666666666666666,
german_binary,1,correlation_remover,1,KNN,DP,0.72,0.0530342731369877,0.7777777777777777,
german_binary,1,correlation_remover,1,KNN,DP,0.72,0.0268315690179226,0.8888888888888888,
german_binary,1,correlation_remover,1,KNN,DP,0.716,0.0009432973482863,1.0,
german_binary,1,correlation_remover,1,KNN,TPR,0.748,0.0605128205128204,0.0,
german_binary,1,correlation_remover,1,KNN,TPR,0.72,0.0723076923076923,0.1111111111111111,
german_binary,1,correlation_remover,1,KNN,TPR,0.736,0.078974358974359,0.2222222222222222,
german_binary,1,correlation_remover,1,KNN,TPR,0.732,0.0405128205128205,0.3333333333333333,
german_binary,1,correlation_remover,1,KNN,TPR,0.724,0.0112820512820512,0.4444444444444444,
german_binary,1,correlation_remover,1,KNN,TPR,0.716,0.0112820512820512,0.5555555555555556,
german_binary,1,correlation_remover,1,KNN,TPR,0.716,0.0046153846153845,0.6666666666666666,
german_binary,1,correlation_remover,1,KNN,TPR,0.72,0.0112820512820512,0.7777777777777777,
german_binary,1,correlation_remover,1,KNN,TPR,0.72,0.0338461538461538,0.8888888888888888,
german_binary,1,correlation_remover,1,KNN,TPR,0.716,0.0589743589743589,1.0,
german_binary,1,correlation_remover,1,KNN,FPR,0.748,0.2147349505840071,0.0,
german_binary,1,correlation_remover,1,KNN,FPR,0.72,0.1769991015274034,0.1111111111111111,
german_binary,1,correlation_remover,1,KNN,FPR,0.736,0.233602875112309,0.2222222222222222,
german_binary,1,correlation_remover,1,KNN,FPR,0.732,0.1958670260557052,0.3333333333333333,
german_binary,1,correlation_remover,1,KNN,FPR,0.724,0.1769991015274034,0.4444444444444444,
german_binary,1,correlation_remover,1,KNN,FPR,0.716,0.1392632524707996,0.5555555555555556,
german_binary,1,correlation_remover,1,KNN,FPR,0.716,0.1868823000898473,0.6666666666666666,
german_binary,1,correlation_remover,1,KNN,FPR,0.72,0.224618149146451,0.7777777777777777,
