dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
3,0.05,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.05,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.1,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.1,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.1,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.15,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.15,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.15,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.2,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.2,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.2,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.25,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.25,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.25,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.3,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.3,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.3,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.35,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.35,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.35,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
