approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train data,pe train pred,pe test data,pe test pred,pe cal data,pe cal pred,EOpp train data,EOpp train pred,EOpp test data,EOpp test pred,EOpp cal data,EOpp cal pred
FlowOCT,compas_enc.csv,PE,0.01,3101,1,0,10800,2,1770,0.570783618,0,37,58.64550281,0.571613739,0.569371728,1,0.4125,0.2,0.407234962,0.028858218,0.8,0.03515625,1,0.5,0.556701031,0.142857143,1,0.153846154,1.11E-16,0.005555556,0,0.011111111,1,0.028571429,0,0.333333333,0,0.054054054,0,0.059471366
FlowOCT,compas_enc.csv,PE,0.05,3101,1,0,10800,2,1932,0.623024831,0,49,74.11323762,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,PE,0.15,3101,1,0,10800,2,2081,0.671073847,0,37,57.16772962,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,PE,0.1,3101,1,0,10800,2,1932,0.623024831,0,53,70.31958246,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,PE,0.25,3101,1,0,10800,2,2081,0.671073847,0,37,61.74149799,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,PE,0.2,3101,1,0,10800,2,2081,0.671073847,0,37,65.9921,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,PE,0.35,3101,1,0,10800,2,2081,0.671073847,0,39,55.95383072,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,PE,0.3,3101,1,0,10800,2,2081,0.671073847,0,37,57.47132111,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,PE,0.45,3101,1,0,10800,2,2081,0.671073847,0,35,49.6329627,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,PE,0.4,3101,1,0,10800,2,2081,0.671073847,0,17,45.87422228,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
